Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1852.0,OUT049
FDW14,1572.0,OUT017
NCN55,1868.0,OUT010
FDQ58,2588.0,OUT017
FDY38,5196.0,OUT027
FDH56,1912.0,OUT046
FDL48,600.0,OUT018
FDC48,2796.0,OUT027
FDN33,1508.0,OUT045
FDA36,3088.0,OUT017
FDT44,1988.0,OUT017
FDQ56,1308.0,OUT045
NCC54,1876.0,OUT019
FDU11,2068.0,OUT049
DRL59,896.0,OUT013
FDM24,2572.0,OUT049
FDI57,3076.0,OUT045
DRC12,2760.0,OUT018
NCM42,3220.0,OUT027
FDA46,1120.0,OUT010
FDA31,2816.0,OUT013
NCJ31,3880.0,OUT035
FDG52,788.0,OUT046
NCL19,384.0,OUT019
FDS10,3012.0,OUT035
FDX22,1452.0,OUT010
NCF19,928.0,OUT035
NCE06,2536.0,OUT046
DRC27,3836.0,OUT046
FDE21,2020.0,OUT035
NCR42,-1340.0,OUT019
FDX51,2872.0,OUT018
NCR06,440.0,OUT018
FDU31,4964.0,OUT027
FDU59,2716.0,OUT017
FDR03,4772.0,OUT027
FDS49,2772.0,OUT027
FDD48,-84.0,OUT010
NCF18,3124.0,OUT017
NCD43,3124.0,OUT027
NCD54,2000.0,OUT018
FDY19,-52.0,OUT010
NCY54,2828.0,OUT017
NCL19,2032.0,OUT018
FDP23,1524.0,OUT010
FDC26,1832.0,OUT013
FDR14,-1044.0,OUT010
NCS41,3032.0,OUT035
FDF41,4044.0,OUT035
FDU34,1980.0,OUT046
DRH11,920.0,OUT046
FDM03,1744.0,OUT013
FDS31,3024.0,OUT017
FDJ20,2092.0,OUT017
FDV44,4508.0,OUT027
FDG02,3116.0,OUT049
FDA09,2936.0,OUT013
FDT04,680.0,OUT013
FDL58,2304.0,OUT019
FDE52,1440.0,OUT045
FDW12,2504.0,OUT035
FDL51,3548.0,OUT017
NCY42,3716.0,OUT027
FDR07,1656.0,OUT017
FDN40,2360.0,OUT045
FDB35,2972.0,OUT027
FDA22,2740.0,OUT017
NCL06,4108.0,OUT046
FDI35,2920.0,OUT013
NCW42,3412.0,OUT045
NCX06,2956.0,OUT049
FDC37,3212.0,OUT027
FDZ14,1744.0,OUT018
DRG49,3972.0,OUT049
NCG06,3960.0,OUT045
DRC36,2720.0,OUT045
FDV21,68.0,OUT019
FDB53,2340.0,OUT046
DRP47,2052.0,OUT019
FDA14,2352.0,OUT013
DRC24,2564.0,OUT035
FDW21,1416.0,OUT018
NCH29,1556.0,OUT046
FDU58,3088.0,OUT013
FDY27,2936.0,OUT017
FDV56,1944.0,OUT035
FDT59,3644.0,OUT046
FDB23,3604.0,OUT046
FDR49,692.0,OUT045
FDB03,1900.0,OUT010
FDN39,2604.0,OUT045
FDX02,4996.0,OUT027
FDQ16,3204.0,OUT027
FDU35,1336.0,OUT018
NCT29,1980.0,OUT013
FDZ27,808.0,OUT046
FDN57,2344.0,OUT017
FDA03,2096.0,OUT018
FDZ36,2924.0,OUT045
NCU05,1344.0,OUT013
FDT39,2200.0,OUT018
FDK60,1708.0,OUT017
FDZ25,2844.0,OUT017
FDG12,2004.0,OUT046
DRB01,1128.0,OUT019
NCC43,5396.0,OUT027
FDX13,2044.0,OUT019
FDM22,1036.0,OUT049
FDJ03,2324.0,OUT027
FDU14,3664.0,OUT018
FDB33,616.0,OUT010
FDP27,3000.0,OUT046
FDO38,-684.0,OUT010
FDE28,5156.0,OUT027
FDO27,1704.0,OUT035
DRL23,3180.0,OUT027
FDS28,956.0,OUT046
FDX24,1552.0,OUT013
FDZ02,1752.0,OUT035
FDL46,1800.0,OUT045
FDS60,4308.0,OUT027
NCO06,644.0,OUT017
FDO16,1532.0,OUT035
FDC60,1564.0,OUT049
FDA48,3200.0,OUT018
FDZ36,4468.0,OUT027
FDK27,1876.0,OUT045
FDW23,392.0,OUT018
FDM14,1512.0,OUT018
FDM14,1792.0,OUT013
FDW60,2616.0,OUT018
FDE21,1920.0,OUT013
NCM42,1896.0,OUT035
FDY59,-396.0,OUT010
DRI49,1388.0,OUT049
FDT28,524.0,OUT019
FDQ22,408.0,OUT018
FDR60,1340.0,OUT049
FDC50,-388.0,OUT019
FDV24,2456.0,OUT013
DRF48,1056.0,OUT010
FDQ47,636.0,OUT046
DRN36,1668.0,OUT049
NCY06,2180.0,OUT035
FDE52,1644.0,OUT035
NCB54,1948.0,OUT045
NCF31,2560.0,OUT035
FDJ08,4460.0,OUT027
NCC07,1796.0,OUT017
NCD19,2348.0,OUT027
FDL46,2012.0,OUT049
FDM20,3824.0,OUT045
NCI06,924.0,OUT010
DRM11,4220.0,OUT035
NCH07,2224.0,OUT018
FDS23,2100.0,OUT013
FDO49,600.0,OUT018
FDS35,1172.0,OUT049
DRK39,1264.0,OUT045
DRI39,1052.0,OUT049
FDV04,2644.0,OUT017
NCN14,3008.0,OUT035
FDH08,3704.0,OUT013
FDS20,2896.0,OUT046
FDV40,1348.0,OUT049
FDZ48,-164.0,OUT010
FDS24,2924.0,OUT027
FDK44,2860.0,OUT049
FDS48,2324.0,OUT045
FDK26,1096.0,OUT010
FDD23,2968.0,OUT045
NCH54,2652.0,OUT017
NCP14,-252.0,OUT010
FDM60,-1208.0,OUT010
FDV24,2512.0,OUT017
FDH08,3360.0,OUT018
FDS12,3484.0,OUT027
FDR39,4324.0,OUT027
FDP12,2140.0,OUT027
DRF60,5188.0,OUT027
FDC09,1844.0,OUT035
FDF50,2872.0,OUT018
FDG28,4040.0,OUT035
NCE19,1004.0,OUT017
NCM53,-208.0,OUT010
NCN18,1876.0,OUT049
FDF32,3292.0,OUT035
FDF11,3880.0,OUT013
DRI59,3660.0,OUT049
NCG54,2812.0,OUT035
FDM44,1628.0,OUT046
FDT57,3472.0,OUT018
FDV24,2392.0,OUT046
FDI50,1772.0,OUT019
FDS09,1036.0,OUT035
NCC31,3916.0,OUT027
FDQ07,1612.0,OUT019
FDC22,3176.0,OUT017
FDZ56,2684.0,OUT046
FDZ40,-980.0,OUT019
FDS46,3412.0,OUT027
DRD24,2164.0,OUT045
FDV45,3104.0,OUT017
FDL26,2404.0,OUT045
FDA56,1720.0,OUT018
FDN27,1884.0,OUT046
FDM20,3988.0,OUT049
FDO16,1468.0,OUT017
FDL03,3288.0,OUT035
FDE58,1864.0,OUT046
FDI02,3300.0,OUT027
NCC55,-1244.0,OUT019
FDR03,3040.0,OUT018
FDB14,1628.0,OUT017
FDR45,3856.0,OUT013
NCN07,2168.0,OUT017
FDM51,-180.0,OUT019
FDT52,5380.0,OUT027
FDL26,2440.0,OUT046
NCZ42,3756.0,OUT046
DRI47,436.0,OUT019
FDW40,2328.0,OUT013
FDN34,2716.0,OUT046
FDS01,2984.0,OUT035
NCG55,1780.0,OUT045
FDC11,1532.0,OUT035
FDX35,3352.0,OUT018
NCB06,2516.0,OUT046
FDR09,2208.0,OUT019
FDC53,1684.0,OUT017
FDY45,4064.0,OUT013
FDA22,744.0,OUT010
FDE02,1668.0,OUT035
FDW21,1616.0,OUT045
FDV34,1248.0,OUT046
FDS59,1908.0,OUT049
NCW17,2140.0,OUT017
NCK54,1860.0,OUT046
FDG17,2024.0,OUT019
FDG35,2892.0,OUT017
FDD08,-1268.0,OUT010
NCO07,3444.0,OUT017
FDJ10,364.0,OUT010
FDW36,1784.0,OUT017
FDW21,-244.0,OUT010
FDY19,1996.0,OUT017
DRE03,816.0,OUT013
NCC55,740.0,OUT049
FDH52,-828.0,OUT010
FDO09,4308.0,OUT017
FDU43,3752.0,OUT045
FDX09,852.0,OUT010
FDH40,-500.0,OUT019
FDW58,1792.0,OUT017
FDC47,3684.0,OUT017
NCR41,1656.0,OUT035
DRG49,3992.0,OUT035
FDC52,3948.0,OUT027
FDY13,1212.0,OUT046
FDY35,832.0,OUT013
FDI35,2992.0,OUT017
NCU18,2348.0,OUT049
FDY33,2288.0,OUT018
FDC15,3948.0,OUT027
FDU01,3108.0,OUT049
NCU42,2676.0,OUT046
NCV29,2544.0,OUT018
NCY30,2992.0,OUT017
FDQ46,1908.0,OUT049
FDG58,3956.0,OUT027
FDK33,3488.0,OUT017
NCD07,1772.0,OUT045
NCX29,3740.0,OUT027
NCT42,2400.0,OUT013
DRN59,896.0,OUT035
FDI44,1416.0,OUT035
FDA45,2908.0,OUT049
FDP31,1024.0,OUT045
FDY01,1856.0,OUT046
FDT09,1904.0,OUT018
DRH03,2980.0,OUT027
FDA36,2712.0,OUT018
NCF31,2532.0,OUT017
FDG14,2572.0,OUT049
FDG28,5388.0,OUT027
FDU14,4060.0,OUT049
FDY47,256.0,OUT019
FDI56,1572.0,OUT049
DRD01,1004.0,OUT013
FDM22,940.0,OUT046
FDH33,740.0,OUT013
DRZ24,1920.0,OUT013
NCQ38,1672.0,OUT046
FDO16,2844.0,OUT027
FDU07,3844.0,OUT027
NCB07,3096.0,OUT013
FDU48,2040.0,OUT045
NCM43,2548.0,OUT045
FDR31,428.0,OUT010
DRK49,416.0,OUT018
NCI30,1908.0,OUT010
DRD60,2968.0,OUT017
NCG19,3664.0,OUT046
FDH12,1828.0,OUT035
FDM32,1628.0,OUT035
FDM27,2648.0,OUT035
NCU53,4084.0,OUT027
NCQ18,1552.0,OUT046
FDS10,2888.0,OUT013
FDB33,3980.0,OUT027
FDI12,1472.0,OUT013
NCW42,3520.0,OUT013
NCC06,1776.0,OUT018
FDW02,2172.0,OUT017
NCD43,1780.0,OUT017
FDM57,1120.0,OUT018
FDA58,3840.0,OUT017
FDK56,2912.0,OUT046
FDP52,3620.0,OUT045
FDW20,1720.0,OUT018
FDS52,1748.0,OUT049
NCT29,1632.0,OUT018
NCL54,2820.0,OUT013
FDC05,3104.0,OUT045
FDF34,3316.0,OUT035
FDP03,3500.0,OUT027
FDD32,-532.0,OUT010
FDZ10,1964.0,OUT045
FDZ40,1048.0,OUT035
FDD51,456.0,OUT018
NCY30,960.0,OUT019
FDP58,3536.0,OUT017
FDV49,4284.0,OUT017
FDY24,-1000.0,OUT019
NCO55,1804.0,OUT017
FDR13,2028.0,OUT017
FDS51,1132.0,OUT017
FDP26,1600.0,OUT045
NCB54,3516.0,OUT027
FDF32,3224.0,OUT017
FDN31,2728.0,OUT018
DRM48,692.0,OUT017
FDN20,2796.0,OUT049
DRL01,3696.0,OUT046
FDV56,1884.0,OUT049
DRH13,3188.0,OUT027
FDA03,2468.0,OUT017
FDF47,4996.0,OUT027
FDX32,2356.0,OUT046
FDX57,1708.0,OUT049
NCA30,2912.0,OUT045
FDO49,916.0,OUT013
FDL04,-212.0,OUT019
DRM48,748.0,OUT035
FDR16,3440.0,OUT013
NCC19,2760.0,OUT018
NCE42,3636.0,OUT045
FDY24,1048.0,OUT017
FDH19,2900.0,OUT049
FDJ46,2800.0,OUT013
FDN45,1596.0,OUT010
FDY08,2396.0,OUT035
FDZ37,1604.0,OUT035
NCT30,704.0,OUT045
DRY23,456.0,OUT018
NCZ30,1672.0,OUT018
