Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1567.53384844,OUT049
FDW14,1456.97981588,OUT017
NCN55,572.877122466,OUT010
FDQ58,2501.07469447,OUT017
FDY38,5835.31592535,OUT027
FDH56,1958.5317509,OUT046
FDL48,734.443791098,OUT018
FDC48,2130.30697493,OUT027
FDN33,1535.15505079,OUT045
FDA36,3049.01613082,OUT017
FDT44,1972.40589578,OUT017
FDQ56,1441.03441812,OUT045
NCC54,571.09146349,OUT019
FDU11,2013.13586337,OUT049
DRL59,829.833655091,OUT013
FDM24,2486.61797715,OUT049
FDI57,3102.11545247,OUT045
DRC12,3044.16657968,OUT018
NCM42,2923.51149999,OUT027
FDA46,506.529800106,OUT010
FDA31,2865.70527938,OUT013
NCJ31,3903.61531389,OUT035
FDG52,737.506263186,OUT046
NCL19,286.398435117,OUT019
FDS10,3014.47192179,OUT035
FDX22,568.729642573,OUT010
NCF19,736.823085904,OUT035
NCE06,2567.70658064,OUT046
DRC27,3908.0973408,OUT046
FDE21,1958.5317509,OUT035
NCR42,130.308128029,OUT019
FDX51,3044.16657968,OUT018
NCR06,669.518290747,OUT018
FDU31,5835.31592535,OUT027
FDU59,2569.851237,OUT017
FDR03,5835.31592535,OUT027
FDS49,2028.74384073,OUT027
FDD48,267.651840161,OUT010
NCF18,3049.01613082,OUT017
NCD43,2828.80626964,OUT027
NCD54,2131.86494435,OUT018
FDY19,267.965738848,OUT010
NCY54,2865.70527938,OUT017
NCL19,2476.14334782,OUT018
FDP23,570.400413835,OUT010
FDC26,1692.44533867,OUT013
FDR14,130.308128029,OUT010
NCS41,3049.01613082,OUT035
FDF41,3931.10605285,OUT035
FDU34,2016.28957089,OUT046
DRH11,963.09395221,OUT046
FDM03,1567.69412019,OUT013
FDS31,3017.10210277,OUT017
FDJ20,2013.13586337,OUT017
FDV44,5171.72221343,OUT027
FDG02,3049.01613082,OUT049
FDA09,2974.32288054,OUT013
FDT04,713.252586289,OUT013
FDL58,571.09146349,OUT019
FDE52,1499.07491353,OUT045
FDW12,2476.14334782,OUT035
FDL51,3672.82030269,OUT017
NCY42,3040.27080447,OUT027
FDR07,1535.15505079,OUT017
FDN40,2493.71720522,OUT045
FDB35,2698.12760037,OUT027
FDA22,2569.851237,OUT017
NCL06,4081.74426071,OUT046
FDI35,3017.10210277,OUT013
NCW42,3763.36061657,OUT045
NCX06,2987.1739697,OUT049
FDC37,2884.79941167,OUT027
FDZ14,2013.13586337,OUT018
DRG49,3898.6015675,OUT049
NCG06,4046.17337809,OUT045
DRC36,2865.70527938,OUT045
FDV21,279.026434707,OUT019
FDB53,2480.07347686,OUT046
DRP47,569.046201787,OUT019
FDA14,2478.11161122,OUT013
DRC24,2493.71720522,OUT035
FDW21,1553.22215078,OUT018
NCH29,1535.15505079,OUT046
FDU58,3049.01613082,OUT013
FDY27,2898.31672186,OUT017
FDV56,1582.5558772,OUT035
FDT59,3822.29641291,OUT046
FDB23,3786.01654741,OUT046
FDR49,732.931665571,OUT045
FDB03,572.980299398,OUT010
FDN39,2569.851237,OUT045
FDX02,5835.31592535,OUT027
FDQ16,2884.79941167,OUT027
FDU35,1538.62202886,OUT018
NCT29,2013.13586337,OUT013
FDZ27,737.506263186,OUT046
FDN57,2027.1849498,OUT017
FDA03,2478.11161122,OUT018
FDZ36,3049.01613082,OUT045
NCU05,1472.56257104,OUT013
FDT39,2484.64714777,OUT018
FDK60,1535.15505079,OUT017
FDZ25,2753.66393043,OUT017
FDG12,2013.13586337,OUT046
DRB01,502.509011368,OUT019
NCC43,5835.31592535,OUT027
FDX13,569.379378604,OUT019
FDM22,866.118970325,OUT049
FDJ03,1019.43285952,OUT027
FDU14,3811.39354588,OUT018
FDB33,378.087793363,OUT010
FDP27,3049.01613082,OUT046
FDO38,159.027186999,OUT010
FDE28,5835.31592535,OUT027
FDO27,1535.15505079,OUT035
DRL23,2881.30209902,OUT027
FDS28,961.522912919,OUT046
FDX24,1536.68612887,OUT013
FDZ02,1535.15505079,OUT035
FDL46,1958.5317509,OUT045
