Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1878.09871887,OUT049
FDW14,1606.63697348,OUT017
NCN55,1837.47334666,OUT010
FDQ58,2577.17644718,OUT017
FDY38,5079.90117479,OUT027
FDH56,1934.3593367,OUT046
FDL48,671.750083539,OUT018
FDC48,2803.28688483,OUT027
FDN33,1542.87164306,OUT045
FDA36,3052.61604851,OUT017
FDT44,2002.64402575,OUT017
FDQ56,1354.8374713,OUT045
NCC54,1809.81925968,OUT019
FDU11,2070.97803324,OUT049
DRL59,956.935518586,OUT013
FDM24,2549.20148469,OUT049
FDI57,3045.94929718,OUT045
DRC12,2726.10374283,OUT018
NCM42,3194.15629598,OUT027
FDA46,1124.90963305,OUT010
FDA31,2779.34967718,OUT013
NCJ31,3790.37993428,OUT035
FDG52,864.163528252,OUT046
NCL19,402.328243852,OUT019
FDS10,2989.4271062,OUT035
FDX22,1451.08953812,OUT010
NCF19,990.311302861,OUT035
NCE06,2512.93283271,OUT046
DRC27,3758.45963821,OUT046
FDE21,2044.84035368,OUT035
NCR42,-1243.46625176,OUT019
FDX51,2839.82250777,OUT018
NCR06,514.677085672,OUT018
FDU31,4865.32043334,OUT027
FDU59,2688.631898,OUT017
FDR03,4682.99196584,OUT027
FDS49,2773.09495463,OUT027
FDD48,-8.35079660275,OUT010
NCF18,3070.35305276,OUT017
NCD43,3104.76849467,OUT027
NCD54,2000.18553347,OUT018
FDY19,21.3456946279,OUT010
NCY54,2776.07766761,OUT017
NCL19,2028.20522829,OUT018
FDP23,1518.77098956,OUT010
FDC26,1842.56017829,OUT013
FDR14,-946.584678092,OUT010
NCS41,2994.05980635,OUT035
FDF41,3960.30714162,OUT035
FDU34,2002.53214139,OUT046
DRH11,976.587981439,OUT046
FDM03,1761.34562114,OUT013
FDS31,2991.16888419,OUT017
FDJ20,2101.31467977,OUT017
FDV44,4430.6187021,OUT027
FDG02,3080.72640038,OUT049
FDA09,2900.07365321,OUT013
FDT04,752.848446446,OUT013
FDL58,2230.54915948,OUT019
FDE52,1488.00053901,OUT045
FDW12,2501.70340725,OUT035
FDL51,3490.39306347,OUT017
NCY42,3667.19278053,OUT027
FDR07,1689.91809338,OUT017
FDN40,2358.16825561,OUT045
FDB35,2966.18368097,OUT027
FDA22,2714.93837156,OUT017
NCL06,4014.51337882,OUT046
FDI35,2891.17500939,OUT013
NCW42,3354.54217946,OUT045
NCX06,2917.32200031,OUT049
FDC37,3199.8938057,OUT027
FDZ14,1757.42645161,OUT018
DRG49,3873.64056063,OUT049
NCG06,3877.16785961,OUT045
DRC36,2694.71727968,OUT045
FDV21,87.0906603784,OUT019
FDB53,2335.61742163,OUT046
DRP47,1968.27999978,OUT019
FDA14,2348.35010108,OUT013
DRC24,2552.68063568,OUT035
FDW21,1449.40872313,OUT018
NCH29,1582.73308168,OUT046
FDU58,3047.79006505,OUT013
FDY27,2907.02877732,OUT017
FDV56,1974.29089847,OUT035
FDT59,3588.00222777,OUT046
FDB23,3554.41878329,OUT046
FDR49,763.496935986,OUT045
FDB03,1861.88877915,OUT010
FDN39,2593.76077058,OUT045
FDX02,4894.99607365,OUT027
FDQ16,3191.1513833,OUT027
FDU35,1368.4733377,OUT018
NCT29,1979.38413715,OUT013
FDZ27,887.319523004,OUT046
FDN57,2344.39926759,OUT017
FDA03,2098.41804663,OUT018
FDZ36,2893.92675079,OUT045
NCU05,1374.33748442,OUT013
FDT39,2195.90515094,OUT018
FDK60,1732.5365596,OUT017
FDZ25,2821.39931864,OUT017
FDG12,2027.0777529,OUT046
DRB01,1098.5852496,OUT019
NCC43,5261.30557591,OUT027
FDX13,1988.01002324,OUT019
FDM22,1098.04523921,OUT049
FDJ03,2348.84821213,OUT027
FDU14,3595.15780415,OUT018
FDB33,663.942130372,OUT010
FDP27,2966.11441724,OUT046
FDO38,-586.098305872,OUT010
FDE28,5043.66702561,OUT027
FDO27,1724.49597269,OUT035
DRL23,3163.8476981,OUT027
FDS28,1022.68116486,OUT046
FDX24,1587.648552,OUT013
FDZ02,1783.39136591,OUT035
FDL46,1833.62469545,OUT045
FDS60,4245.40050544,OUT027
NCO06,707.35806849,OUT017
FDO16,1577.03285695,OUT035
FDC60,1586.12238433,OUT049
FDA48,3143.6970871,OUT018
FDZ36,4388.34188278,OUT027
FDK27,1906.4359402,OUT045
FDW23,469.378588313,OUT018
FDM14,1544.54135975,OUT018
FDM14,1818.16801341,OUT013
FDW60,2589.43088256,OUT018
FDE21,1937.29588097,OUT013
NCM42,1910.15209766,OUT035
FDY59,-305.53606524,OUT010
DRI49,1406.63452375,OUT049
FDT28,537.449254761,OUT019
FDQ22,493.334043337,OUT018
FDR60,1377.56446079,OUT049
FDC50,-340.605701158,OUT019
FDV24,2438.2915144,OUT013
DRF48,1064.84334818,OUT010
FDQ47,709.081423772,OUT046
DRN36,1686.03133746,OUT049
NCY06,2181.03745259,OUT035
FDE52,1683.70614249,OUT035
NCB54,1957.61508286,OUT045
NCF31,2541.75263814,OUT035
FDJ08,4384.09762423,OUT027
NCC07,1815.80367171,OUT017
NCD19,2370.42439168,OUT027
FDL46,2024.04175463,OUT049
FDM20,3756.9906327,OUT045
NCI06,937.012355173,OUT010
DRM11,4123.17780705,OUT035
NCH07,2206.29394098,OUT018
FDS23,2096.40082834,OUT013
FDO49,675.585819371,OUT018
FDS35,1218.75680033,OUT049
DRK39,1304.56432884,OUT045
DRI39,1092.82270217,OUT049
FDV04,2618.79141743,OUT017
NCN14,2969.34435506,OUT035
FDH08,3639.23636231,OUT013
FDS20,2873.59388517,OUT046
FDV40,1396.2594463,OUT049
FDZ48,-86.4219427958,OUT010
FDS24,2925.02876724,OUT027
FDK44,2828.62808978,OUT049
FDS48,2328.35598367,OUT045
FDK26,1112.40302366,OUT010
FDD23,2940.53734756,OUT045
NCH54,2623.11379803,OUT017
NCP14,-190.08879982,OUT010
FDM60,-1082.96249799,OUT010
FDV24,2494.67336887,OUT017
FDH08,3303.38941442,OUT018
FDS12,3443.61683899,OUT027
FDR39,4256.90368158,OUT027
FDP12,2173.94219551,OUT027
DRF60,5068.54911191,OUT027
FDC09,1878.27299463,OUT035
FDF50,2825.01831758,OUT018
FDG28,3964.54672422,OUT035
NCE19,1048.1797467,OUT017
NCM53,-137.974197275,OUT010
NCN18,1880.39745107,OUT049
FDF32,3252.80068667,OUT035
FDF11,3802.05054157,OUT013
DRI59,3584.58942744,OUT049
NCG54,2782.34618201,OUT035
FDM44,1670.30457547,OUT046
FDT57,3410.10481637,OUT018
FDV24,2387.77325694,OUT046
FDI50,1729.73818674,OUT019
FDS09,1100.03636369,OUT035
NCC31,3861.98994832,OUT027
FDQ07,1568.34496015,OUT019
FDC22,3124.89032294,OUT017
FDZ56,2677.14740513,OUT046
FDZ40,-891.55012853,OUT019
FDS46,3386.3522174,OUT027
DRD24,2168.62877333,OUT045
FDV45,3069.82452644,OUT017
FDL26,2403.91075618,OUT045
FDA56,1738.92467037,OUT018
FDN27,1913.22931832,OUT046
FDM20,3903.72483524,OUT049
FDO16,1508.27345024,OUT017
FDL03,3252.47204247,OUT035
FDE58,1892.82142831,OUT046
FDI02,3274.03699526,OUT027
NCC55,-1156.75836837,OUT019
FDR03,3002.58410816,OUT018
FDB14,1660.33000955,OUT017
FDR45,3779.91829718,OUT013
NCN07,2167.5311401,OUT017
FDM51,-127.564103114,OUT019
FDT52,5260.65660898,OUT027
FDL26,2438.63936995,OUT046
NCZ42,3685.04317543,OUT046
DRI47,451.897940597,OUT019
FDW40,2317.45585081,OUT013
FDN34,2702.83175531,OUT046
FDS01,2962.62591604,OUT035
NCG55,1799.65032301,OUT045
FDC11,1573.13782768,OUT035
FDX35,3289.10726146,OUT018
NCB06,2496.83960794,OUT046
FDR09,2138.68992817,OUT019
FDC53,1718.17769691,OUT017
FDY45,3977.88444373,OUT013
FDA22,771.353539699,OUT010
FDE02,1700.25204408,OUT035
FDW21,1655.62106418,OUT045
FDV34,1305.51192281,OUT046
FDS59,1928.04481175,OUT049
NCW17,2140.78461253,OUT017
NCK54,1875.84481282,OUT046
FDG17,1970.11089866,OUT019
