Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1639.95141681,OUT049
FDW14,1366.31664888,OUT017
NCN55,574.800044777,OUT010
FDQ58,2453.62303554,OUT017
FDY38,5865.56587679,OUT027
FDH56,1947.73553702,OUT046
FDL48,762.498990775,OUT018
FDC48,2129.55372763,OUT027
FDN33,1520.95665313,OUT045
FDA36,3107.55328602,OUT017
FDT44,1930.27715534,OUT017
FDQ56,1355.61055006,OUT045
NCC54,574.853070238,OUT019
FDU11,2033.49429226,OUT049
DRL59,874.270955378,OUT013
FDM24,2450.84113755,OUT049
FDI57,3031.5613857,OUT045
DRC12,2958.53202465,OUT018
NCM42,2912.52251747,OUT027
FDA46,504.151759183,OUT010
FDA31,2856.0324961,OUT013
NCJ31,3850.13670695,OUT035
FDG52,785.848466492,OUT046
NCL19,285.35339958,OUT019
FDS10,2970.60240999,OUT035
FDX22,568.773227884,OUT010
NCF19,758.400302996,OUT035
NCE06,2553.69867035,OUT046
DRC27,3932.61573136,OUT046
FDE21,1947.11007805,OUT035
NCR42,131.038449207,OUT019
FDX51,2996.25179376,OUT018
NCR06,616.321236648,OUT018
FDU31,5865.56587679,OUT027
FDU59,2551.69037952,OUT017
FDR03,5865.56587679,OUT027
FDS49,2050.75600164,OUT027
FDD48,267.118350637,OUT010
NCF18,3033.93966186,OUT017
NCD43,2850.0259874,OUT027
NCD54,2119.56584516,OUT018
FDY19,267.479009865,OUT010
NCY54,2875.60733113,OUT017
NCL19,2432.58456403,OUT018
FDP23,572.86159946,OUT010
FDC26,1729.57855245,OUT013
FDR14,131.038449207,OUT010
NCS41,3118.31563457,OUT035
FDF41,3910.47430112,OUT035
FDU34,2052.90425556,OUT046
DRH11,940.323313597,OUT046
FDM03,1644.72140822,OUT013
FDS31,3057.28418123,OUT017
FDJ20,1998.30944759,OUT017
FDV44,5145.00487766,OUT027
FDG02,3127.85776206,OUT049
FDA09,2988.16841668,OUT013
FDT04,700.054886748,OUT013
FDL58,574.853070238,OUT019
FDE52,1385.82361589,OUT045
FDW12,2477.27047117,OUT035
FDL51,3705.21680882,OUT017
NCY42,3014.77641012,OUT027
FDR07,1553.83319542,OUT017
FDN40,2462.28108031,OUT045
FDB35,2717.22901299,OUT027
FDA22,2558.06250804,OUT017
NCL06,4128.89341722,OUT046
FDI35,3041.66142473,OUT013
NCW42,3780.66921052,OUT045
NCX06,2976.59507257,OUT049
